,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year
102,,2,PPD/PSD,0,0,1,2,47.75,0,1592,Lajes do Pico,Açores,0,30,0.9,,False,28,0.84,6,3334,74.89,Sara Maria Alves da Rosa Santos,2009
103,,3,PS,1,1,1,3,50.51,1,1684,Lajes do Pico,Açores,0,30,0.9,,False,28,0.84,6,3334,74.89,Roberto Manuel Medeiros da Silva,2009
104,,0,PCP-PEV,0,0,1,0,2.08,0,76,Madalena,Açores,0,75,2.05,,False,20,0.55,6,3650,69.08,Elisabete da Piedade Alves,2009
105,,4,PPD/PSD,1,1,1,4,64.14,1,2341,Madalena,Açores,0,75,2.05,,False,20,0.55,6,3650,69.08,Jorge Manuel Pereira Rodrigues,2009
106,,1,PS,0,0,1,1,31.18,0,1138,Madalena,Açores,0,75,2.05,,False,20,0.55,6,3650,69.08,Hernani Hélio Jorge,2009
107,,3,PPD/PSD,1,1,1,3,56.5,1,1965,Nordeste,Açores,0,61,1.75,,False,60,1.73,9,3478,74.06,José Carlos Barbosa Carreiro,2009
108,,2,PS,0,0,1,2,40.02,0,1392,Nordeste,Açores,0,61,1.75,,False,60,1.73,9,3478,74.06,Carlos Alberto Medeiros Mendonça,2009
109,,0,B.E.,0,0,1,0,2.09,0,599,Ponta Delgada,Açores,0,290,1.01,,False,219,0.76,24,28702,47.27,Lúcia de Fátima Oliveira Arruda,2009
110,,0,CDS-PP,0,0,1,0,2.76,0,792,Ponta Delgada,Açores,0,290,1.01,,False,219,0.76,24,28702,47.27,Eduardo Jorge Lopes Medeiros,2009
111,,0,PCP-PEV,0,0,1,0,1.67,0,480,Ponta Delgada,Açores,0,290,1.01,,False,219,0.76,24,28702,47.27,Carlos Alberto Gomes Ribeiro,2009
112,,6,PPD/PSD,1,1,1,6,60.69,1,17419,Ponta Delgada,Açores,0,290,1.01,,False,219,0.76,24,28702,47.27,Berta Maria Correia de Almeida de Melo Cabral,2009
113,,3,PS,0,0,1,3,31.02,0,8903,Ponta Delgada,Açores,0,290,1.01,,False,219,0.76,24,28702,47.27,José Paulo Martins Casaca,2009
114,,0,PCP-PEV,0,0,1,0,0.74,0,32,Povoação,Açores,0,56,1.3,,False,39,0.91,6,4304,69.37,Teresa de Jesus Vieira Moniz Vertentes,2009
115,,2,PPD/PSD,0,0,1,2,39.8,0,1713,Povoação,Açores,0,56,1.3,,False,39,0.91,6,4304,69.37,Francisco da Silva Álvares,2009
116,,3,PS,1,1,1,3,57.25,1,2464,Povoação,Açores,0,56,1.3,,False,39,0.91,6,4304,69.37,Carlos Emílio Lopes Machado Ávila,2009
117,,0,CDS-PP,0,0,1,0,2.02,0,272,Ribeira Grande,Açores,0,158,1.17,,False,163,1.21,14,13479,53.13,Artur José Araújo de Arruda Ponte,2009
118,,0,PCP-PEV,0,0,1,0,1.51,0,203,Ribeira Grande,Açores,0,158,1.17,,False,163,1.21,14,13479,53.13,Antero Jerónimo Moniz Arruda Quental,2009
119,,3,PPD/PSD,0,0,1,3,36.09,0,4864,Ribeira Grande,Açores,0,158,1.17,,False,163,1.21,14,13479,53.13,Filomeno dos Anjos da Silva Gouveia,2009
120,,4,PS,1,1,1,4,54.54,1,7352,Ribeira Grande,Açores,0,158,1.17,,False,163,1.21,14,13479,53.13,Ricardo José Moniz da Silva,2009
121,,2,PPD/PSD,0,0,1,2,45.26,0,1288,Santa Cruz da Graciosa,Açores,0,35,1.23,,False,29,1.02,4,2846,66.5,José Ramos de Aguiar,2009
122,,3,PS,1,1,1,3,52.49,1,1494,Santa Cruz da Graciosa,Açores,0,35,1.23,,False,29,1.02,4,2846,66.5,Manuel Avelar Cunha Santos,2009
123,,0,CDS-PP,0,0,1,0,13.21,0,184,Santa Cruz das Flores,Açores,0,22,1.58,,False,6,0.43,4,1393,69.51,Rosa Margarida Ribeiro Cravinho,2009
124,,0,PCP-PEV,0,0,1,0,5.81,0,81,Santa Cruz das Flores,Açores,0,22,1.58,,False,6,0.43,4,1393,69.51,João Paulo Valadão Corvelo,2009
125,,1,PPD/PSD,0,0,1,1,22.61,0,315,Santa Cruz das Flores,Açores,0,22,1.58,,False,6,0.43,4,1393,69.51,Hélio Fernando Miranda Ramos,2009
126,,4,PS,1,1,1,4,56.35,1,785,Santa Cruz das Flores,Açores,0,22,1.58,,False,6,0.43,4,1393,69.51,Manuel Alberto da Silva Pereira,2009
127,,0,CDS-PP,0,0,1,0,1.05,0,24,São Roque do Pico,Açores,0,29,1.27,,False,16,0.7,5,2292,71.54,Rosa Maria da Silva Vieira,2009
128,,0,PCP-PEV,0,0,1,0,0.61,0,14,São Roque do Pico,Açores,0,29,1.27,,False,16,0.7,5,2292,71.54,José Manuel Bettencourt Ávila,2009
129,,3,PPD/PSD,1,1,1,3,56.37,1,1292,São Roque do Pico,Açores,0,29,1.27,,False,16,0.7,5,2292,71.54,Luís Filipe Ramos Macedo da Silva,2009
130,,2,PS,0,0,1,2,40.01,0,917,São Roque do Pico,Açores,0,29,1.27,,False,16,0.7,5,2292,71.54,Paulo Jaime Terra Goulart,2009
131,,0,B.E.,0,0,1,0,0.59,0,21,Velas,Açores,0,49,1.39,,False,38,1.08,6,3533,70.07,António Fernando Cardoso,2009
132,,0,CDS-PP,0,0,1,0,11.29,0,399,Velas,Açores,0,49,1.39,,False,38,1.08,6,3533,70.07,Vítor Manuel Assunção Bernardes,2009
133,,2,PPD/PSD,0,0,1,2,35.55,0,1256,Velas,Açores,0,49,1.39,,False,38,1.08,6,3533,70.07,António José Bettencourt da Silveira,2009
134,,3,PS,1,1,1,3,50.1,1,1770,Velas,Açores,0,49,1.39,,False,38,1.08,6,3533,70.07,Manuel Soares da Silveira,2009
135,,0,CDS-PP,0,0,1,0,3.8,0,244,Vila Franca do Campo,Açores,0,63,0.98,,False,115,1.79,6,6422,65.22,João Manuel Pacheco Furtado,2009
136,,0,PCP-PEV,0,0,1,0,0.59,0,38,Vila Franca do Campo,Açores,0,63,0.98,,False,115,1.79,6,6422,65.22,Juvenálio dos Santos da Ponte,2009
137,,2,PPD/PSD,0,0,1,2,34.79,0,2234,Vila Franca do Campo,Açores,0,63,0.98,,False,115,1.79,6,6422,65.22,Rui António Dias da Câmara de Carvalho e Melo,2009
