Year,alternateCandidates,mandates,party,presidents,votes.absoluteMajority,votes.constituenctyCounter,votes.mandates,votes.percentage,votes.presidents,votes.votes,county,district,availableMandates,blankVotes,blankVotesPercentage,displayMessage,hasNoVoting,nullVotes,nullVotesPercentage,numberParishes,numberVoters,percentageVoters,candidatos,year,votes.validVotesPercentage
2009,,2,PPD/PSD,0,0,1,2,45.26,0,1288,Santa Cruz da Graciosa,Açores,0,35,1.23,,FALSE,29,1.02,4,2846,66.5,José Ramos de Aguiar,2009,
2009,,3,PS,1,1,1,3,52.49,1,1494,Santa Cruz da Graciosa,Açores,0,35,1.23,,FALSE,29,1.02,4,2846,66.5,Manuel Avelar Cunha Santos,2009,
2009,,0,CDS-PP,0,0,1,0,13.21,0,184,Santa Cruz das Flores,Açores,0,22,1.58,,FALSE,6,0.43,4,1393,69.51,Rosa Margarida Ribeiro Cravinho,2009,
2009,,0,PCP-PEV,0,0,1,0,5.81,0,81,Santa Cruz das Flores,Açores,0,22,1.58,,FALSE,6,0.43,4,1393,69.51,João Paulo Valadão Corvelo,2009,
2009,,1,PPD/PSD,0,0,1,1,22.61,0,315,Santa Cruz das Flores,Açores,0,22,1.58,,FALSE,6,0.43,4,1393,69.51,Hélio Fernando Miranda Ramos,2009,
2009,,4,PS,1,1,1,4,56.35,1,785,Santa Cruz das Flores,Açores,0,22,1.58,,FALSE,6,0.43,4,1393,69.51,Manuel Alberto da Silva Pereira,2009,
2009,,0,CDS-PP,0,0,1,0,1.05,0,24,São Roque do Pico,Açores,0,29,1.27,,FALSE,16,0.7,5,2292,71.54,Rosa Maria da Silva Vieira,2009,
2009,,0,PCP-PEV,0,0,1,0,0.61,0,14,São Roque do Pico,Açores,0,29,1.27,,FALSE,16,0.7,5,2292,71.54,José Manuel Bettencourt Ávila,2009,
2009,,3,PPD/PSD,1,1,1,3,56.37,1,1292,São Roque do Pico,Açores,0,29,1.27,,FALSE,16,0.7,5,2292,71.54,Luís Filipe Ramos Macedo da Silva,2009,
2009,,2,PS,0,0,1,2,40.01,0,917,São Roque do Pico,Açores,0,29,1.27,,FALSE,16,0.7,5,2292,71.54,Paulo Jaime Terra Goulart,2009,
2009,,0,B.E.,0,0,1,0,0.59,0,21,Velas,Açores,0,49,1.39,,FALSE,38,1.08,6,3533,70.07,António Fernando Cardoso,2009,
2009,,0,CDS-PP,0,0,1,0,11.29,0,399,Velas,Açores,0,49,1.39,,FALSE,38,1.08,6,3533,70.07,Vítor Manuel Assunção Bernardes,2009,
2009,,2,PPD/PSD,0,0,1,2,35.55,0,1256,Velas,Açores,0,49,1.39,,FALSE,38,1.08,6,3533,70.07,António José Bettencourt da Silveira,2009,
2009,,3,PS,1,1,1,3,50.1,1,1770,Velas,Açores,0,49,1.39,,FALSE,38,1.08,6,3533,70.07,Manuel Soares da Silveira,2009,
2009,,0,CDS-PP,0,0,1,0,3.8,0,244,Vila Franca do Campo,Açores,0,63,0.98,,FALSE,115,1.79,6,6422,65.22,João Manuel Pacheco Furtado,2009,
2009,,0,PCP-PEV,0,0,1,0,0.59,0,38,Vila Franca do Campo,Açores,0,63,0.98,,FALSE,115,1.79,6,6422,65.22,Juvenálio dos Santos da Ponte,2009,
2009,,2,PPD/PSD,0,0,1,2,34.79,0,2234,Vila Franca do Campo,Açores,0,63,0.98,,FALSE,115,1.79,6,6422,65.22,Rui António Dias da Câmara de Carvalho e Melo,2009,
2009,,3,PS,1,1,1,3,58.05,1,3728,Vila Franca do Campo,Açores,0,63,0.98,,FALSE,115,1.79,6,6422,65.22,António Fernando Raposo Cordeiro,2009,
2009,,0,B.E.,0,0,1,0,0.88,0,92,Vila da Praia da Vitória,Açores,0,123,1.17,,FALSE,89,0.85,11,10509,55.95,Paulo José Maio Sousa Mendes,2009,
